DATE,CPI
1947:01,21.5 
1947:02,21.6 
1947:03,22.0 
1947:04,22.0 
1947:05,22.0 
1947:06,22.1 
1947:07,22.2 
1947:08,22.4 
1947:09,22.8 
1947:10,22.9 
1947:11,23.1 
1947:12,23.4 
1948:01,23.7 
1948:02,23.7 
1948:03,23.5 
1948:04,23.8 
1948:05,24.0 
1948:06,24.2 
1948:07,24.4 
1948:08,24.4 
1948:09,24.4 
1948:10,24.3 
1948:11,24.2 
1948:12,24.1 
1949:01,24.0 
1949:02,23.9 
1949:03,23.9 
1949:04,23.9 
1949:05,23.9 
1949:06,23.9 
1949:07,23.7 
1949:08,23.7 
1949:09,23.8 
1949:10,23.7 
1949:11,23.7 
1949:12,23.6 
1950:01,23.5 
1950:02,23.6 
1950:03,23.6 
1950:04,23.7 
1950:05,23.8 
1950:06,23.9 
1950:07,24.1 
1950:08,24.2 
1950:09,24.3 
1950:10,24.5 
1950:11,24.6 
1950:12,25.0 
1951:01,25.4 
1951:02,25.8 
1951:03,25.9 
1951:04,25.9 
1951:05,26.0 
1951:06,25.9 
1951:07,25.9 
1951:08,25.9 
1951:09,26.0 
1951:10,26.2 
1951:11,26.3 
1951:12,26.5 
1952:01,26.5 
1952:02,26.4 
1952:03,26.4 
1952:04,26.5 
1952:05,26.5 
1952:06,26.5 
1952:07,26.7 
1952:08,26.7 
1952:09,26.6 
1952:10,26.7 
1952:11,26.7 
1952:12,26.7 
1953:01,26.6 
1953:02,26.6 
1953:03,26.6 
1953:04,26.7 
1953:05,26.7 
1953:06,26.8 
1953:07,26.8 
1953:08,26.9 
1953:09,26.9 
1953:10,27.0 
1953:11,26.9 
1953:12,26.9 
1954:01,26.9 
1954:02,27.0 
1954:03,26.9 
1954:04,26.9 
1954:05,26.9 
1954:06,26.9 
1954:07,26.9 
1954:08,26.9 
1954:09,26.8 
1954:10,26.7 
1954:11,26.8 
1954:12,26.8 
1955:01,26.8 
1955:02,26.8 
1955:03,26.8 
1955:04,26.8 
1955:05,26.8 
1955:06,26.7 
1955:07,26.8 
1955:08,26.7 
1955:09,26.9 
1955:10,26.8 
1955:11,26.9 
1955:12,26.9 
1956:01,26.8 
1956:02,26.9 
1956:03,26.9 
1956:04,26.9 
1956:05,27.0 
1956:06,27.2 
1956:07,27.3 
1956:08,27.3 
1956:09,27.4 
1956:10,27.5 
1956:11,27.5 
1956:12,27.6 
1957:01,27.7 
1957:02,27.8 
1957:03,27.9 
1957:04,27.9 
1957:05,28.0 
1957:06,28.1 
1957:07,28.2 
1957:08,28.3 
1957:09,28.3 
1957:10,28.3 
1957:11,28.4 
1957:12,28.5 
1958:01,28.6 
1958:02,28.7 
1958:03,28.9 
1958:04,28.9 
1958:05,28.9 
1958:06,28.9 
1958:07,28.9 
1958:08,28.9 
1958:09,28.9 
1958:10,28.9 
1958:11,29.0 
1958:12,29.0 
1959:01,29.0 
1959:02,29.0 
1959:03,29.0 
1959:04,29.0 
1959:05,29.0 
1959:06,29.1 
1959:07,29.2 
1959:08,29.2 
1959:09,29.3 
1959:10,29.4 
1959:11,29.4 
1959:12,29.4 
1960:01,29.4 
1960:02,29.4 
1960:03,29.4 
1960:04,29.5 
1960:05,29.6 
1960:06,29.6 
1960:07,29.6 
1960:08,29.6 
1960:09,29.6 
1960:10,29.8 
1960:11,29.8 
1960:12,29.8 
1961:01,29.8 
1961:02,29.8 
1961:03,29.8 
1961:04,29.8 
1961:05,29.8 
1961:06,29.8 
1961:07,29.9 
1961:08,29.9 
1961:09,30.0 
1961:10,30.0 
1961:11,30.0 
1961:12,30.0 
1962:01,30.0 
1962:02,30.1 
1962:03,30.2 
1962:04,30.2 
1962:05,30.2 
1962:06,30.2 
1962:07,30.2 
1962:08,30.3 
1962:09,30.4 
1962:10,30.4 
1962:11,30.4 
1962:12,30.4 
1963:01,30.4 
1963:02,30.5 
1963:03,30.5 
1963:04,30.5 
1963:05,30.5 
1963:06,30.6 
1963:07,30.7 
1963:08,30.8 
1963:09,30.7 
1963:10,30.8 
1963:11,30.8 
1963:12,30.9 
1964:01,30.9 
1964:02,30.9 
1964:03,30.9 
1964:04,31.0 
1964:05,31.0 
1964:06,31.0 
1964:07,31.0 
1964:08,31.1 
1964:09,31.1 
1964:10,31.1 
1964:11,31.2 
1964:12,31.3 
1965:01,31.3 
1965:02,31.3 
1965:03,31.3 
1965:04,31.4 
1965:05,31.5 
1965:06,31.6 
1965:07,31.6 
1965:08,31.6 
1965:09,31.6 
1965:10,31.7 
1965:11,31.8 
1965:12,31.9 
1966:01,31.9 
1966:02,32.1 
1966:03,32.2 
1966:04,32.3 
1966:05,32.4 
1966:06,32.4 
1966:07,32.5 
1966:08,32.7 
1966:09,32.8 
1966:10,32.9 
1966:11,32.9 
1966:12,32.9 
1967:01,32.9 
1967:02,33.0 
1967:03,33.0 
1967:04,33.1 
1967:05,33.1 
1967:06,33.3 
1967:07,33.4 
1967:08,33.5 
1967:09,33.6 
1967:10,33.7 
1967:11,33.9 
1967:12,34.0 
1968:01,34.1 
1968:02,34.2 
1968:03,34.3 
1968:04,34.4 
1968:05,34.5 
1968:06,34.7 
1968:07,34.9 
1968:08,35.0 
1968:09,35.1 
1968:10,35.3 
1968:11,35.4 
1968:12,35.6 
1969:01,35.7 
1969:02,35.8 
1969:03,36.1 
1969:04,36.3 
1969:05,36.4 
1969:06,36.6 
1969:07,36.8 
1969:08,36.9 
1969:09,37.1 
1969:10,37.3 
1969:11,37.5 
1969:12,37.7 
1970:01,37.9 
1970:02,38.1 
1970:03,38.3 
1970:04,38.5 
1970:05,38.6 
1970:06,38.8 
1970:07,38.9 
1970:08,39.0 
1970:09,39.2 
1970:10,39.4 
1970:11,39.6 
1970:12,39.8 
1971:01,39.9 
1971:02,39.9 
1971:03,40.0 
1971:04,40.1 
1971:05,40.3 
1971:06,40.5 
1971:07,40.6 
1971:08,40.7 
1971:09,40.8 
1971:10,40.9 
1971:11,41.0 
1971:12,41.1 
1972:01,41.2 
1972:02,41.4 
1972:03,41.4 
1972:04,41.5 
1972:05,41.6 
1972:06,41.7 
1972:07,41.8 
1972:08,41.9 
1972:09,42.1 
1972:10,42.2 
1972:11,42.4 
1972:12,42.5 
1973:01,42.7 
1973:02,43.0 
1973:03,43.4 
1973:04,43.7 
1973:05,43.9 
1973:06,44.2 
1973:07,44.2 
1973:08,45.0 
1973:09,45.2 
1973:10,45.6 
1973:11,45.9 
1973:12,46.3 
1974:01,46.8 
1974:02,47.3 
1974:03,47.8 
1974:04,48.1 
1974:05,48.6 
1974:06,49.0 
1974:07,49.3 
1974:08,49.9 
1974:09,50.6 
1974:10,51.0 
1974:11,51.5 
1974:12,51.9 
1975:01,52.3 
1975:02,52.6 
1975:03,52.8 
1975:04,53.0 
1975:05,53.1 
1975:06,53.5 
1975:07,54.0 
1975:08,54.2 
1975:09,54.6 
1975:10,54.9 
1975:11,55.3 
1975:12,55.6 
1976:01,55.8 
1976:02,55.9 
1976:03,56.0 
1976:04,56.1 
1976:05,56.4 
1976:06,56.7 
1976:07,57.0 
1976:08,57.3 
1976:09,57.6 
1976:10,57.9 
1976:11,58.1 
1976:12,58.4 
1977:01,58.7 
1977:02,59.3 
1977:03,59.6 
1977:04,60.0 
1977:05,60.2 
1977:06,60.5 
1977:07,60.8 
1977:08,61.1 
1977:09,61.3 
1977:10,61.6 
1977:11,62.0 
1977:12,62.3 
1978:01,62.7 
1978:02,63.0 
1978:03,63.4 
1978:04,63.9 
1978:05,64.5 
1978:06,65.0 
1978:07,65.5 
1978:08,65.9 
1978:09,66.5 
1978:10,67.1 
1978:11,67.5 
1978:12,67.9 
1979:01,68.5 
1979:02,69.2 
1979:03,69.9 
1979:04,70.6 
1979:05,71.4 
1979:06,72.2 
1979:07,73.0 
1979:08,73.7 
1979:09,74.4 
1979:10,75.2 
1979:11,76.0 
1979:12,76.9 
1980:01,78.0 
1980:02,79.0 
1980:03,80.1 
1980:04,80.9 
1980:05,81.7 
1980:06,82.5 
1980:07,82.6 
1980:08,83.2 
1980:09,83.9 
1980:10,84.7 
1980:11,85.6 
1980:12,86.4 
1981:01,87.2 
1981:02,88.0 
1981:03,88.6 
1981:04,89.1 
1981:05,89.7 
1981:06,90.5 
1981:07,91.5 
1981:08,92.2 
1981:09,93.1 
1981:10,93.4 
1981:11,93.8 
1981:12,94.1 
1982:01,94.4 
1982:02,94.7 
1982:03,94.7 
1982:04,95.0 
1982:05,95.9 
1982:06,97.0 
1982:07,97.5 
1982:08,97.7 
1982:09,97.7 
1982:10,98.1 
1982:11,98.0 
1982:12,97.7 
1983:01,97.9 
1983:02,98.0 
1983:03,98.1 
1983:04,98.8 
1983:05,99.2 
1983:06,99.4 
1983:07,99.8 
1983:08,100.1 
1983:09,100.4 
1983:10,100.8 
1983:11,101.1 
1983:12,101.4 
1984:01,102.1 
1984:02,102.6 
1984:03,102.9 
1984:04,103.3 
1984:05,103.5 
1984:06,103.7 
1984:07,104.1 
1984:08,104.4 
1984:09,104.7 
1984:10,105.1 
1984:11,105.3 
1984:12,105.5 
1985:01,105.7 
1985:02,106.3 
1985:03,106.8 
1985:04,107.0 
1985:05,107.2 
1985:06,107.5 
1985:07,107.7 
1985:08,107.9 
1985:09,108.1 
1985:10,108.5 
1985:11,109.0 
1985:12,109.5 
1986:01,109.9 
1986:02,109.7 
1986:03,109.1 
1986:04,108.7 
1986:05,109.0 
1986:06,109.4 
1986:07,109.5 
1986:08,109.6 
1986:09,110.0 
1986:10,110.2 
1986:11,110.4 
1986:12,110.8 
1987:01,111.4 
1987:02,111.8 
1987:03,112.2 
1987:04,112.7 
1987:05,113.0 
1987:06,113.5 
1987:07,113.8 
1987:08,114.3 
1987:09,114.7 
1987:10,115.0 
1987:11,115.4 
1987:12,115.6 
1988:01,116.0 
1988:02,116.2 
1988:03,116.5 
1988:04,117.2 
1988:05,117.5 
1988:06,118.0 
1988:07,118.5 
1988:08,119.0 
1988:09,119.5 
1988:10,119.9 
1988:11,120.3 
1988:12,120.7 
1989:01,121.2 
1989:02,121.6 
1989:03,122.2 
1989:04,123.1 
1989:05,123.7 
1989:06,124.1 
1989:07,124.5 
1989:08,124.5 
1989:09,124.8 
1989:10,125.4 
1989:11,125.9 
1989:12,126.3 
1990:01,127.5 
1990:02,128.0 
1990:03,128.6 
1990:04,128.9 
1990:05,129.1 
1990:06,129.9 
1990:07,130.5 
1990:08,131.6 
1990:09,132.5 
1990:10,133.4 
1990:11,133.7 
1990:12,134.2 
1991:01,134.7 
1991:02,134.8 
1991:03,134.8 
1991:04,135.1 
1991:05,135.6 
1991:06,136.0 
1991:07,136.2 
1991:08,136.6 
1991:09,137.0 
1991:10,137.2 
1991:11,137.8 
1991:12,138.2 
1992:01,138.3 
1992:02,138.6 
1992:03,139.1 
1992:04,139.4 
1992:05,139.7 
1992:06,140.1 
1992:07,140.5 
1992:08,140.8 
1992:09,141.1 
1992:10,141.7 
1992:11,142.1 
1992:12,142.3 
1993:01,142.8 
1993:02,143.1 
1993:03,143.3 
1993:04,143.8 
1993:05,144.2 
1993:06,144.3 
1993:07,144.5 
1993:08,144.8 
1993:09,145.0 
1993:10,145.6 
1993:11,146.0 
1993:12,146.3 
1994:01,146.3 
1994:02,146.7 
1994:03,147.1 
1994:04,147.2 
1994:05,147.5 
1994:06,147.9 
1994:07,148.4 
1994:08,149.0 
1994:09,149.3 
1994:10,149.4 
1994:11,149.8 
1994:12,150.1 
1995:01,150.5 
1995:02,150.9 
1995:03,151.2 
1995:04,151.8 
1995:05,152.1 
1995:06,152.4 
1995:07,152.6 
1995:08,152.9 
1995:09,153.1 
1995:10,153.5 
1995:11,153.7 
1995:12,153.9 
1996:01,154.7 
1996:02,155.0 
1996:03,155.5 
1996:04,156.1 
1996:05,156.4 
1996:06,156.7 
1996:07,157.0 
1996:08,157.2 
1996:09,157.7 
1996:10,158.2 
1996:11,158.7 
1996:12,159.1 
1997:01,159.4 
1997:02,159.7 
1997:03,159.8 
1997:04,159.9 
1997:05,159.9 
1997:06,160.2 
1997:07,160.4 
1997:08,160.8 
1997:09,161.2 
1997:10,161.5 
1997:11,161.7 
1997:12,161.8 
1998:01,162.0 
1998:02,162.0 
1998:03,162.0 
1998:04,162.2 
1998:05,162.6 
1998:06,162.8 
1998:07,163.2 
1998:08,163.4 
1998:09,163.5 
1998:10,163.9 
1998:11,164.1 
1998:12,164.4 
1999:01,164.7 
1999:02,164.7 
1999:03,164.8 
1999:04,165.9 
1999:05,166.0 
1999:06,166.0 
1999:07,166.7 
1999:08,167.1 
1999:09,167.8 
1999:10,168.1 
1999:11,168.4 
1999:12,168.8 
2000:01,169.3 
2000:02,170.0 
2000:03,171.0 
2000:04,170.9 
2000:05,171.2 
2000:06,172.2 
2000:07,172.7 
2000:08,172.7 
2000:09,173.6 
2000:10,173.9 
2000:11,174.2 
2000:12,174.6 
2001:01,175.6 
2001:02,176.0 
2001:03,176.1 
2001:04,176.4 
2001:05,177.3 
2001:06,177.7 
2001:07,177.4 
2001:08,177.4 
2001:09,178.1 
2001:10,177.6 
2001:11,177.5 
2001:12,177.4 
2002:01,177.7 
2002:02,178.0 
2002:03,178.5 
2002:04,179.3 
2002:05,179.5 
2002:06,179.6 
2002:07,180.0 
2002:08,180.5 
2002:09,180.8 
2002:10,181.2 
2002:11,181.5 
2002:12,181.8 
2003:01,182.6 
2003:02,183.6 
2003:03,183.9 
2003:04,183.2 
2003:05,182.9 
2003:06,183.1 
2003:07,183.7 
2003:08,184.5 
2003:09,185.1 
2003:10,184.9 
2003:11,185.0 
2003:12,185.5 
2004:01,186.3 
2004:02,186.7 
2004:03,187.1 
2004:04,187.4 
2004:05,188.2 
2004:06,188.9 
2004:07,189.1 
2004:08,189.2 
2004:09,189.8 
2004:10,190.8 
2004:11,191.7 
2004:12,191.7 
2005:01,191.6 
2005:02,192.4 
2005:03,193.1 
2005:04,193.7 
2005:05,193.6 
2005:06,193.7 
2005:07,194.9 
2005:08,196.1 
2005:09,198.8 
2005:10,199.1 
2005:11,198.1 
2005:12,198.1 
2006:01,199.3 
2006:02,199.4 
2006:03,199.7 
2006:04,200.7 
2006:05,201.3 
2006:06,201.8 
2006:07,202.9 
2006:08,203.8 
2006:09,202.8 
2006:10,201.9 
2006:11,202.0 
2006:12,203.1 
2007:01,203.4 
2007:02,204.2 
2007:03,205.3 
2007:04,205.9 
2007:05,206.8 
2007:06,207.2 
2007:07,207.6 
2007:08,207.7 
2007:09,208.5 
2007:10,209.2 
2007:11,210.8 
2007:12,211.4 
2008:01,212.2 
2008:02,212.7 
2008:03,213.4 
2008:04,213.9 
2008:05,215.2 
2008:06,217.5 
2008:07,219.0 
2008:08,218.7 
2008:09,218.9 
2008:10,217.0 
2008:11,213.2 
2008:12,211.4 
2009:01,211.9 
2009:02,212.7 
2009:03,212.5 
2009:04,212.7 
2009:05,213.0 
2009:06,214.8 
2009:07,214.7 
2009:08,215.4 
2009:09,215.9 
2009:10,216.5 
2009:11,217.2 
2009:12,217.3 
2010:01,217.5 
2010:02,217.3 
2010:03,217.4 
2010:04,217.4 
2010:05,217.3 
2010:06,217.2 
2010:07,217.6 
2010:08,217.9 
2010:09,218.3 
2010:10,219.0 
2010:11,219.6 
2010:12,220.5 
2011:01,221.2 
2011:02,221.9 
2011:03,223.0 
2011:04,224.1 
2011:05,224.8 
2011:06,224.8 
2011:07,225.4 
2011:08,226.1 
2011:09,226.6 
2011:10,226.8 
2011:11,227.2 
2011:12,227.2 
2012:01,227.8 
2012:02,228.3 
2012:03,228.8 
2012:04,229.2 
2012:05,228.7 
2012:06,228.5 
2012:07,228.6 
2012:08,229.9 
2012:09,231.0 
2012:10,231.6 
2012:11,231.2 
2012:12,231.2 
2013:01,231.7 
2013:02,232.9 
2013:03,232.3 
2013:04,231.8 
2013:05,231.9 
2013:06,232.4 
2013:07,232.9 
2013:08,233.5 
2013:09,233.5 
2013:10,233.7 
2013:11,234.1 
2013:12,234.7 
2014:01,235.3 
2014:02,235.5 
2014:03,236.0 
2014:04,236.5 
2014:05,236.9 
2014:06,237.2 
2014:07,237.5 
2014:08,237.5 
2014:09,237.5 
2014:10,237.4 
2014:11,237.0 
2014:12,236.3 
2015:01,234.7 
2015:02,235.3 
2015:03,236.0 
2015:04,236.2 
2015:05,237.0 
2015:06,237.7 
2015:07,238.0 
2015:08,238.0 
2015:09,237.5 
2015:10,237.7 
2015:11,238.0 
2015:12,237.8 
2016:01,237.7 
2016:02,237.3 
2016:03,238.1 
2016:04,239.0 
2016:05,239.6 
2016:06,240.2 
2016:07,240.1 
2016:08,240.5 
2016:09,241.2 
2016:10,241.7 
2016:11,242.0 
2016:12,242.6 
2017:01,243.6 
2017:02,244.0 
2017:03,243.9 
2017:04,244.2 
2017:05,244.0 
2017:06,244.2 
2017:07,244.2 
2017:08,245.2 
2017:09,246.4 
2017:10,246.6 
2017:11,247.3 
2017:12,247.8 
2018:01,248.9 
2018:02,249.5 
2018:03,249.6 
2018:04,250.2 
2018:05,250.8 
2018:06,251.0 
2018:07,251.2 
2018:08,251.7 
2018:09,252.2 
2018:10,252.8 
2018:11,252.6 
2018:12,252.8 
2019:01,252.7 
2019:02,253.3 
2019:03,254.2 
2019:04,255.2 
2019:05,255.3 
2019:06,255.2 
2019:07,255.7 
2019:08,256.1 
2019:09,256.5 
2019:10,257.2 
2019:11,257.8 
2019:12,258.6 
2020:01,259.0 
2020:02,259.2 
2020:03,258.1 
2020:04,256.1 
2020:05,255.9 
2020:06,257.0 
2020:07,258.3 
2020:08,259.4 
2020:09,260.0 
2020:10,260.3 
2020:11,260.8 
2020:12,262.0 
2021:01,262.7 
2021:02,263.6 
2021:03,264.9 
2021:04,266.7 
2021:05,268.4 
2021:06,270.6 
2021:07,271.8 
2021:08,272.9 
2021:09,274.0 
2021:10,276.5 
2021:11,278.7 
2021:12,280.9 
2022:01,282.6 
2022:02,284.6 
2022:03,287.5 
2022:04,288.6 
2022:05,291.3 
2022:06,294.7 
2022:07,294.6 
2022:08,295.3 
2022:09,296.5 
2022:10,298.0 
2022:11,298.6 
2022:12,299.0 
2023:01,300.5 
2023:02,301.6 
2023:03,301.8 
2023:04,302.9 
2023:05,303.3 
2023:06,303.8 
2023:07,304.3 
2023:08,306.3 
2023:09,307.5 
2023:10,307.6 
2023:11,307.9 
2023:12,308.9 
